,To,Ti_sp,Φo1,Φi1,Φi2,Φo2,Etot,Qa
2025-04-03 14:00:00+01:00,21.6,20,6428.15702633376,482.11177697503194,482.11177697503194,8035.1962829172,535.67975219448,0
2025-04-03 15:00:00+01:00,22.3,20,4349.166135944264,326.18746019581977,326.18746019581977,5436.457669930331,362.4305113286887,0
2025-04-03 16:00:00+01:00,20.7,20,2228.106150063087,167.10796125473152,167.10796125473152,2785.132687578859,185.67551250525727,0
2025-04-03 17:00:00+01:00,19.2,20,840.5406510134885,63.04054882601163,63.04054882601163,1050.6758137668608,70.04505425112404,0
2025-04-03 18:00:00+01:00,17.6,20,285.600792,21.4200594,21.4200594,357.00099,23.800066,0
2025-04-03 19:00:00+01:00,16.8,20,0.0,0.0,0.0,0.0,0.0,0
2025-04-03 20:00:00+01:00,16.0,20,0.0,0.0,0.0,0.0,0.0,0
2025-04-03 21:00:00+01:00,14.9,20,0.0,0.0,0.0,0.0,0.0,0
2025-04-03 22:00:00+01:00,14.4,20,0.0,0.0,0.0,0.0,0.0,0
2025-04-03 23:00:00+01:00,14.0,16,0.0,0.0,0.0,0.0,0.0,0
2025-04-04 00:00:00+01:00,13.5,16,0.0,0.0,0.0,0.0,0.0,0
2025-04-04 01:00:00+01:00,12.5,16,0.0,0.0,0.0,0.0,0.0,0
2025-04-04 02:00:00+01:00,11.4,16,0.0,0.0,0.0,0.0,0.0,0
2025-04-04 03:00:00+01:00,10.4,16,0.0,0.0,0.0,0.0,0.0,0
2025-04-04 04:00:00+01:00,10.0,16,0.0,0.0,0.0,0.0,0.0,0
2025-04-04 05:00:00+01:00,9.6,16,0.0,0.0,0.0,0.0,0.0,0
2025-04-04 06:00:00+01:00,9.3,20,100.80000000000001,7.56,7.56,126.0,8.4,0
2025-04-04 07:00:00+01:00,11.3,20,1443.5151309558214,108.26363482168658,108.26363482168658,1804.3939136947765,120.29292757965177,0
2025-04-04 08:00:00+01:00,13.2,20,4096.047369209355,307.2035526907016,307.2035526907016,5120.059211511694,341.33728076744626,0
2025-04-04 09:00:00+01:00,15.2,20,6393.90467410574,479.5428505579305,479.5428505579305,7992.380842632175,532.8253895088117,0
2025-04-04 10:00:00+01:00,16.7,20,8160.707595951248,612.0530696963435,612.0530696963435,10200.88449493906,680.0589663292707,0
2025-04-04 11:00:00+01:00,18.3,20,8950.365717367265,671.2774288025449,671.2774288025449,11187.957146709083,745.8638097806055,0
2025-04-04 12:00:00+01:00,19.8,20,8956.345616728702,671.7259212546527,671.7259212546527,11195.43202091088,746.3621347273919,0
2025-04-04 13:00:00+01:00,20.7,20,8014.280804776298,601.0710603582223,601.0710603582223,10017.851005970373,667.8567337313582,0
2025-04-04 14:00:00+01:00,21.7,20,6397.097753840797,479.78233153805974,479.78233153805974,7996.372192300996,533.0914794867331,0
2025-04-04 15:00:00+01:00,22.6,20,4319.706645923887,323.9779984442915,323.9779984442915,5399.633307404858,359.97555382699056,0
2025-04-04 16:00:00+01:00,21.8,20,2208.3517808010265,165.62638356007696,165.62638356007696,2760.439726001283,184.0293150667522,0
2025-04-04 17:00:00+01:00,21.1,20,853.5681279667431,64.01760959750573,64.01760959750573,1066.960159958429,71.13067733056192,0
2025-04-04 18:00:00+01:00,20.3,20,294.000984,22.0500738,22.0500738,367.50123,24.500082000000003,0
2025-04-04 19:00:00+01:00,19.0,20,0.0,0.0,0.0,0.0,0.0,0
2025-04-04 20:00:00+01:00,17.8,20,0.0,0.0,0.0,0.0,0.0,0
2025-04-04 21:00:00+01:00,16.6,20,0.0,0.0,0.0,0.0,0.0,0
2025-04-04 22:00:00+01:00,15.1,20,0.0,0.0,0.0,0.0,0.0,0
2025-04-04 23:00:00+01:00,13.6,16,0.0,0.0,0.0,0.0,0.0,0
2025-04-05 00:00:00+01:00,12.1,16,0.0,0.0,0.0,0.0,0.0,0
2025-04-05 01:00:00+01:00,11.9,16,0.0,0.0,0.0,0.0,0.0,0
2025-04-05 02:00:00+01:00,11.6,16,0.0,0.0,0.0,0.0,0.0,0
2025-04-05 03:00:00+01:00,11.4,16,0.0,0.0,0.0,0.0,0.0,0
2025-04-05 04:00:00+01:00,10.9,16,0.0,0.0,0.0,0.0,0.0,0
2025-04-05 05:00:00+01:00,10.4,16,0.0,0.0,0.0,0.0,0.0,0
2025-04-05 06:00:00+01:00,9.9,20,109.19999999999999,8.19,8.19,136.5,9.1,0
2025-04-05 07:00:00+01:00,11.0,20,1500.4198889184847,112.53149166888635,112.53149166888635,1875.5248611481059,125.03499074320706,0
2025-04-05 08:00:00+01:00,13.4,20,4174.452902311936,313.0839676733952,313.0839676733952,5218.066127889921,347.87107519266135,0
2025-04-05 09:00:00+01:00,15.8,20,6545.51820372321,490.91386527924067,490.91386527924067,8181.897754654012,545.4598503102675,0
2025-04-05 10:00:00+01:00,17.0,20,8223.388515034747,616.7541386276059,616.7541386276059,10279.235643793434,685.2823762528956,0
2025-04-05 11:00:00+01:00,18.1,20,9012.699826015469,675.95248695116,675.95248695116,11265.874782519335,751.0583188346224,0
2025-04-05 12:00:00+01:00,19.3,20,8880.492806488312,666.0369604866233,666.0369604866233,11100.61600811039,740.0410672073593,0
